rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,84.80657815366506,79.9108539027086,300667,必创科技,bottom_area,2022-12-20,15.18,2022-12-20,14.9,1.879194630872479,2.684563758389264,27.529182879377423,False,0.5298,1.4632,1,1,1,100.0,27.287191726332534,27.287191726332534,8.120805369127522,1.879194630872479,历史1/1次成功; 当前距低点1.88%; 最新日涨幅0.53%; 状态bottom_area; 底部未确认
2,84.17865250716518,76.82993307934144,300624,万兴科技,bottom_area,2022-12-20,28.96,2022-12-20,28.9,0.20761245674741272,3.391003460207614,31.00978753879208,False,-1.5636,1.6655,2,2,2,100.0,35.87790043400834,51.195680123425035,9.792387543252588,0.20761245674741272,历史2/2次成功; 当前距低点0.21%; 最新日涨幅-1.56%; 状态bottom_area; 底部未确认
3,82.56681595433949,77.66500806807566,600158,中体产业,bottom_area,2022-12-20,8.54,2022-12-20,8.39,1.7878426698450367,2.502979737783064,28.77758913412563,False,0.1172,1.8199,1,1,1,100.0,14.092953523238386,14.092953523238386,8.212157330154964,1.7878426698450367,历史1/1次成功; 当前距低点1.79%; 最新日涨幅0.12%; 状态bottom_area; 底部未确认
4,81.32199957116798,77.42049434436531,002047,宝鹰股份,bottom_area,2022-12-20,3.81,2022-12-20,3.72,2.4193548387096735,3.4946236559139754,31.238447319778185,False,0.7937,1.4647,1,1,1,100.0,20.51948051948051,20.51948051948051,7.5806451612903265,2.4193548387096735,历史1/1次成功; 当前距低点2.42%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
5,80.96162686039419,77.39856516028418,300360,炬华科技,bottom_area,2022-12-20,13.62,2022-12-16,13.27,2.6375282592313463,6.782215523737757,27.007700770077008,False,-1.8025,2.1766,2,2,2,100.0,28.882417157697027,45.323741007194236,7.362471740768655,2.6375282592313463,历史2/2次成功; 当前距低点2.64%; 最新日涨幅-1.80%; 状态bottom_area; 底部未确认
6,79.96481385016497,77.24756289409139,000810,创维数字,bottom_area,2022-12-20,13.93,2022-12-19,13.5,3.1851851851851833,5.259259259259266,27.066450567260947,False,2.3512,1.8003,2,2,2,100.0,12.310672668352654,12.689901697944595,6.814814814814818,3.1851851851851833,历史2/2次成功; 当前距低点3.19%; 最新日涨幅2.35%; 状态bottom_area; 底部未确认
7,78.68361640075508,72.9855435590162,002362,汉王科技,bottom_area,2022-12-20,16.28,2022-12-20,16.11,1.0552451893234123,7.324643078833021,31.006423982869386,False,-4.5161,9.7063,1,1,1,100.0,12.642487046632112,12.642487046632112,8.944754810676589,1.0552451893234123,历史1/1次成功; 当前距低点1.06%; 最新日涨幅-4.52%; 状态bottom_area; 底部未确认
8,78.61708472554889,72.32236073559862,300365,恒华科技,bottom_area,2022-12-20,8.1,2022-12-20,8.05,0.621118012422347,2.236024844720493,29.261862917398947,False,-0.7353,2.0597,2,2,2,100.0,16.712418300653603,19.111111111111114,9.378881987577653,0.621118012422347,历史2/2次成功; 当前距低点0.62%; 最新日涨幅-0.74%; 状态bottom_area; 底部未确认
9,77.53270820416861,72.41510445367172,600222,太龙药业,bottom_area,2022-12-20,7.16,2022-12-20,7.06,1.4164305949008575,4.24929178470256,30.58013765978368,False,-3.8926,9.2086,1,1,1,100.0,14.00304414003044,14.00304414003044,8.583569405099142,1.4164305949008575,历史1/1次成功; 当前距低点1.42%; 最新日涨幅-3.89%; 状态bottom_area; 底部未确认
10,75.9589238568918,75.40447915720645,002395,双象股份,bottom_area,2022-12-20,10.2,2022-12-20,9.75,4.615384615384608,5.230769230769228,28.62371888726208,False,0.7905,1.055,1,1,1,100.0,36.59976387249114,36.59976387249114,5.384615384615392,4.615384615384608,历史1/1次成功; 当前距低点4.62%; 最新日涨幅0.79%; 状态bottom_area; 底部未确认
11,73.72659702406801,69.33706397905326,002603,以岭药业,bottom_area,2022-12-20,39.49,2022-12-20,38.8,1.7783505154639299,4.587628865979385,28.094885100074134,False,-2.9014,7.0692,2,3,2,66.66666666666666,30.564712299163222,39.661898569570866,8.22164948453607,1.7783505154639299,历史2/3次成功; 当前距低点1.78%; 最新日涨幅-2.90%; 状态bottom_area; 底部未确认
12,67.29235520278212,62.55740666391028,688115,思林杰,bottom_area,2022-12-20,40.6,2022-12-19,40.13,1.1711936207326161,2.890605532020923,27.92744252873563,False,0.5697,0.9772,1,2,1,50.0,16.977032898820603,16.977032898820603,8.828806379267384,1.1711936207326161,历史1/2次成功; 当前距低点1.17%; 最新日涨幅0.57%; 状态bottom_area; 底部未确认
13,65.60754612210008,59.643223747363706,000679,大连友谊,bottom_area,2022-12-20,5.88,2022-12-20,5.88,0.0,5.272108843537423,29.832935560859198,False,-9.9541,12.0127,2,3,2,66.66666666666666,18.95998430482276,24.94061757719715,10.0,0.0,历史2/3次成功; 当前距低点0.00%; 最新日涨幅-9.95%; 状态bottom_area; 底部未确认
