rank,rank_score,probability_score,code,name,current_stage,latest_date,latest_close,current_low_date,current_low_price,current_low_to_latest_pct,current_low_to_high_pct,current_drawdown_pct,current_is_bottom_confirmed,latest_pct_chg,latest_turn,historical_valid_event_count,history_sample_count,history_success_count,history_success_rate_pct,history_avg_rebound_pct,history_max_rebound_pct,upside_to_20pct_target_pct,risk_back_to_low_pct,reason
1,88.12545731798185,77.02286641820652,002802,洪汇新材,bottom_area,2022-06-16,14.18,2022-06-08,13.82,2.6049204052098367,6.078147612156294,30.726817042606513,False,0.4961,0.7523,1,1,1,100.0,20.65637065637066,20.65637065637066,17.395079594790165,2.6049204052098367,历史1/1次成功; 当前距低点2.60%; 最新日涨幅0.50%; 状态bottom_area; 底部未确认
2,84.15207208506035,75.32379888268156,002663,普邦股份,bottom_area,2022-06-16,1.86,2022-06-14,1.79,3.9106145251396685,6.145251396648037,31.939163498098853,False,-0.5348,1.4653,1,1,1,100.0,66.45569620253163,66.45569620253163,16.089385474860332,3.9106145251396685,历史1/1次成功; 当前距低点3.91%; 最新日涨幅-0.53%; 状态bottom_area; 底部未确认
3,70.03470427417993,58.47782238075088,002568,百润股份,bottom_area,2022-06-16,27.83,2022-06-16,27.8,0.10791366906473951,8.776978417266179,29.97481108312343,False,0.9797,2.4568,1,2,1,50.0,21.848739495798313,21.848739495798313,19.89208633093526,0.10791366906473951,历史1/2次成功; 当前距低点0.11%; 最新日涨幅0.98%; 状态bottom_area; 底部未确认
4,68.99999999999999,57.49999999999999,002339,积成电子,bottom_area,2022-06-16,5.55,2022-06-16,5.55,0.0,3.2432432432432545,30.100755667506302,False,-2.8021,8.6777,1,2,1,50.0,82.94930875576038,82.94930875576038,20.0,0.0,历史1/2次成功; 当前距低点0.00%; 最新日涨幅-2.80%; 状态bottom_area; 底部未确认
